Awakenings	1990	7.6	31634
Away We Go	2009	7.2	17364
Away from Her	2006	7.6	10844
BASEketball	1998	6.4	24670
Babam Ve Oglum	2005	8.7	13066
Babe	1995	7.2	37607
Babe: Pig in the City	1998	6.1	10500
Babel	2006	7.6	102209
Baby Mama	2008	6.0	17081
Babylon A.D.	2008	5.3	29882
Bachelor Party	1984	5.9	14446
Back to School	1986	6.2	10274
Back to the Future	1985	8.4	224340
Back to the Future Part II	1989	7.5	95597
Back to the Future Part III	1990	7.1	84836
Backdraft	1991	6.6	29348
Bad Boys	1995	6.6	58119
Bad Boys II	2003	6.2	62560
Bad Company	2002	5.4	18800
Bad Lieutenant	1992	6.9	14560
Bad Santa	2003	7.3	48339
Bad Taste	1987	6.7	19020
Badlands	1973	7.9	17707
Ballistic: Ecks vs. Sever	2002	3.5	11432
Balls of Fury	2007	5.2	20201
Bambi	1942	7.6	27196
Bananas	1971	7.1	12975
Bandidas	2006	5.6	12968
Bandits	2001	6.6	31932
Bangkok Dangerous	2008	5.4	22691
Banlieue 13	2004	7.1	23232
Baraka	1992	8.3	11176
Barb Wire	1996	3.1	11298
Barbarella	1968	5.7	11289
Barbershop	2002	6.2	11469
Barry Lyndon	1975	8.1	42969
Barton Fink	1991	7.8	34865
Basic	2003	6.3	27223
Basic Instinct	1992	6.9	60341
Basic Instinct 2	2006	3.9	17601
Batman & Robin	1997	3.5	86040
Batman	1966	6.3	10535
Batman	1989	7.6	117515
Batman Begins	2005	8.3	293892
Batman Forever	1995	5.4	80721
Batman Returns	1992	6.9	83703
Batman: Mask of the Phantasm	1993	7.7	11399
Batoru rowaiaru	2000	7.9	54247
Battlefield Earth: A Saga of the Year 3000	2000	2.4	40965
Be Cool	2005	5.6	33471
Be Kind Rewind	2008	6.5	44978
Bean	1997	5.8	28513
Beautiful Girls	1996	7.2	15969
Beauty and the Beast	1991	8.0	76060
Beavis and Butt-Head Do America	1996	6.6	23941
Because I Said So	2007	5.1	14187
Becoming Jane	2007	6.9	16150
Bedazzled	2000	5.9	32796
Bedtime Stories	2008	6.1	23370
Bee Movie	2007	6.3	32975
Beerfest	2006	6.1	25083
Beethoven	1992	5.2	14542
Beetle Juice	1988	7.3	65340
Before Night Falls	2000	7.2	11056
Before Sunrise	1995	8.1	43014
Before Sunset	2004	8.1	48588
Before the Devil Knows You're Dead	2007	7.4	40460
Behind Enemy Lines	2001	6.1	34906
Being John Malkovich	1999	7.9	119737
Being There	1979	8.0	26109
Belle de jour	1967	7.8	11712
Ben-Hur	1959	8.2	63747
Bend It Like Beckham	2002	6.9	43132
Benny & Joon	1993	6.9	21579
Beowulf	2007	6.5	66947
Best in Show	2000	7.4	25210
Better Off Dead...	1985	7.1	17510
Beverly Hills Chihuahua	2008	3.5	10420
Beverly Hills Cop	1984	7.3	47943
Beverly Hills Cop II	1987	6.1	31412
Beverly Hills Cop III	1994	5.0	22358
Beverly Hills Ninja	1997	5.0	12533
Bewitched	2005	4.8	28309
Bicentennial Man	1999	6.4	30871
Big	1988	7.2	52590
Big Fat Liar	2002	5.2	10447
Big Fish	2003	8.1	154515
Big Momma's House	2000	4.8	23214
Big Momma's House 2	2006	4.1	12254
Big Nothing	2006	6.8	14029
Big Trouble	2002	6.3	11909
Big Trouble in Little China	1986	7.1	36717
Bill & Ted's Bogus Journey	1991	5.8	21129
Bill & Ted's Excellent Adventure	1989	6.8	31938
Billy Elliot	2000	7.7	40884
Billy Madison	1995	6.3	39635
Bin-jip	2004	8.1	16898
Bio-Dome	1996	3.9	12470
Bird on a Wire	1990	5.5	12942
Birth	2004	6.0	16584
Birthday Girl	2001	6.0	13872
Bitter Moon	1992	6.9	11242
Black Christmas	2006	4.3	11061
Black Dynamite	2009	7.4	12226
Black Hawk Down	2001	7.7	105927
Black Knight	2001	4.3	13526
Black Sheep	1996	5.6	11448
Black Snake Moan	2006	7.1	29633
Black Swan	2010	8.5	98667
Blade	1998	7.0	69972
Blade II	2002	6.6	54994
Blade Runner	1982	8.3	198418
Blade: Trinity	2004	5.7	45612
Blades of Glory	2007	6.5	54838
Blast from the Past	1999	6.4	24193
Blazing Saddles	1974	7.7	47666
Blindness	2008	6.6	27605
Blood Diamond	2006	8.0	131568
Blood Simple.	1984	7.8	30250
Blood Work	2002	6.3	17649
BloodRayne	2005	2.7	20826
Bloodsport	1988	6.3	21244
Blow	2001	7.4	75854
Blow Out	1981	7.2	10728
Blown Away	1994	5.9	11209
Blowup	1966	7.6	17670
Blue Crush	2002	5.5	12203
Blue Streak	1999	6.0	24761
Blue Valentine	2010	7.8	11265
Blue Velvet	1986	7.8	57163
Blues Brothers 2000	1998	4.5	12876
Boat Trip	2002	4.7	14032
Bobby	2006	7.1	24147
Body Double	1984	6.5	10164
Body Heat	1981	7.3	12514
Body of Lies	2008	7.1	60250
Boiler Room	2000	6.9	23873
Boksuneun naui geot	2002	7.8	17526
Bolt	2008	7.3	36441
Bom yeoreum gaeul gyeoul geurigo bom	2003	8.1	20294
Bonnie and Clyde	1967	8.0	44353
Boogeyman	2005	3.9	14540
Boogie Nights	1997	7.9	74678
Book of Shadows: Blair Witch 2	2000	4.1	16870
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	2006	7.5	130401
Born on the Fourth of July	1989	7.2	33822
Bottle Rocket	1996	7.2	22935
Bounce	2000	5.6	10959
Bound	1996	7.5	24353
Bound by Honor	1993	7.7	10887
Bowfinger	1999	6.4	34473
Bowling for Columbine	2002	8.2	79013
Boy A	2007	7.8	14268
Boys Don't Cry	1999	7.6	36519
Boyz n the Hood	1991	7.8	31888
Braindead	1992	7.6	34883
Bratz	2007	2.7	11751
Braveheart	1995	8.4	261789
Brazil	1985	8.0	79880
Breach	2007	7.2	28885
Breakfast at Tiffany's	1961	7.8	39318
Breaking and Entering	2006	6.6	11238
Breaking the Waves	1996	7.8	23530
Brewster's Millions	1985	6.0	10839
Brick	2005	7.5	39548
Bride Wars	2009	4.9	17820
